,2015 UTC,2030 UTC,2045 UTC,2100 UTC,2115 UTC,2130 UTC,2145 UTC,2200 UTC,2215 UTC,2230 UTC
1,"(44,36)","(48,39)","(51,42)","(53,45)","(55,48)","(57,52)","(60,57)","(62,61)","(65,66)","(67,70)"
2,"(44,32)","(47,33)","(51,36)","(53,35)","(56,37)","(59,39)","(64,42)","(68,44)","(75,48)","(79,50)"
3,"(44,30)","(48,33)","(50,35)","(53,38)","(56,41)","(58,44)","(63,48)","(66,51)","(70,55)","(73,58)"
4,"(44,30)","(47,31)","(50,33)","(54,35)","(57,36)","(63,38)","(67,39)","(72,41)","(76,42)","(81,44)"
5,"(45,30)","(49,31)","(51,32)","(54,33)","(58,35)","(63,38)","(66,39)","(69,39)","(72,42)","(76,46)"
6,"(44,31)","(47,32)","(51,35)","(54,36)","(58,39)","(63,42)","(70,48)","(76,52)","(81,56)","(87,60)"
7,"(45,34)","(48,37)","(51,39)","(54,43)","(56,45)","(58,48)","(60,52)","(61,56)","(63,60)","(64,64)"
8,"(43,31)","(47,34)","(50,37)","(53,39)","(56,42)","(59,45)","(64,49)","(68,53)","(73,57)","(77,61)"
9,"(44,31)","(48,33)","(51,35)","(53,36)","(56,38)","(59,41)","(63,44)","(67,47)","(71,50)","(74,53)"
10,"(44,31)","(49,33)","(53,35)","(56,36)","(62,39)","(68,44)","(72,47)","(77,51)","(82,55)","(87,59)"
11,"(44,31)","(47,33)","(51,35)","(53,36)","(57,38)","(61,41)","(66,44)","(71,48)","(78,53)","(84,57)"
12,"(45,32)","(51,36)","(52,35)","(56,37)","(62,40)","(65,41)","(70,43)","(75,47)","(80,50)","(85,53)"
13,"(44,31)","(45,33)","(47,35)","(51,37)","(54,38)","(57,39)","(61,40)","(64,41)","(68,42)","(71,43)"
14,"(41,33)","(45,34)","(49,34)","(53,36)","(58,40)","(64,45)","(69,49)","(75,54)","(80,58)","(86,63)"
15,"(44,32)","(49,36)","(53,39)","(56,40)","(60,42)","(63,44)","(67,46)","(70,48)","(74,50)","(77,52)"
16,"(45,32)","(49,37)","(53,43)","(58,46)","(62,49)","(66,51)","(68,54)","(72,56)","(76,59)","(80,61)"
17,"(44,32)","(48,34)","(51,36)","(53,37)","(56,39)","(59,42)","(63,45)","(67,48)","(71,51)","(74,54)"
18,"(46,32)","(49,34)","(53,36)","(56,38)","(63,43)","(69,47)","(75,51)","(81,56)","(87,60)","(93,65)"
19,"(44,33)","(48,36)","(52,39)","(55,42)","(58,45)","(60,48)","(67,53)","(72,58)","(75,61)","(79,65)"
20,"(44,31)","(48,34)","(50,36)","(54,39)","(58,42)","(62,44)","(69,48)","(77,55)","(83,60)","(90,66)"
21,"(45,31)","(48,32)","(50,34)","(53,37)","(55,39)","(57,42)","(59,44)","(67,49)","(71,52)","(77,56)"
22,"(46,32)","(50,34)","(53,36)","(55,37)","(58,39)","(61,42)","(65,45)","(69,48)","(73,51)","(76,54)"
23,"(45,32)","(49,34)","(52,36)","(54,37)","(57,39)","(60,42)","(64,45)","(68,48)","(72,51)","(75,54)"
24,"(43,30)","(47,33)","(50,35)","(54,36)","(59,38)","(65,41)","(71,47)","(77,51)","(83,56)","(89,61)"
25,"(45,33)","(48,34)","(51,37)","(53,38)","(57,40)","(58,43)","(65,46)","(70,50)","(75,54)","(80,57)"
26,"(44,32)","(50,36)","(51,38)","(57,42)","(58,43)","(63,46)","(67,48)","(73,52)","(78,56)","(84,60)"
27,"(43,31)","(47,32)","(51,33)","(55,35)","(60,38)","(64,40)","(69,43)","(73,45)","(78,48)","(82,50)"
28,"(44,31)","(51,39)","(55,40)","(61,42)","(64,44)","(69,46)","(73,48)","(78,50)","(82,52)","(87,54)"
29,"(44,31)","(52,36)","(55,38)","(57,39)","(60,41)","(63,44)","(67,47)","(71,50)","(75,53)","(78,56)"
30,"(44,32)","(49,37)","(53,41)","(57,43)","(61,46)","(65,49)","(69,52)","(73,55)","(77,58)","(81,61)"
31,"(44,31)","(49,34)","(52,35)","(55,44)","(59,46)","(62,52)","(66,57)","(69,63)","(73,68)","(77,74)"
32,"(45,32)","(46,33)","(50,36)","(54,39)","(57,41)","(61,43)","(65,45)","(70,49)","(75,56)","(80,61)"
33,"(44,32)","(49,36)","(54,40)","(58,45)","(63,49)","(67,54)","(72,58)","(76,63)","(81,67)","(85,72)"
34,"(44,31)","(49,33)","(52,34)","(55,35)","(59,37)","(65,43)","(70,47)","(76,52)","(81,57)","(87,62)"
35,"(42,29)","(46,32)","(50,35)","(52,37)","(54,40)","(56,43)","(60,46)","(64,49)","(68,52)","(72,55)"
36,"(45,32)","(50,34)","(51,37)","(55,38)","(59,41)","(65,46)","(70,49)","(76,53)","(81,57)","(87,61)"
MRMS,"(42,29)","(42,30)","(44,31)","(50,35)","(52,36)","(56,38)","(60,41)","(63,43)","(65,45)","(67,46)"